pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.0, 0.45, 0.55]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,72324.9055617225,308.8977706869762,72324,316,94248.05127374435
sarscov2,"[0.0, 0.45, 0.55]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,67967.4544359707,266.27193423207757,67966,351,97313.40457578964
sarscov2,"[0.0, 0.45, 0.55]",0,deaths,"[0.0, 1.0, 2.0]",0.1,0.5,78144.64833929499,372.9627491161931,78144,280,86252.04474183187
sarscov2,"[0.0, 0.45, 0.55]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,72042.42542185987,306.08807828692824,72041,315,95244.91375941326
sarscov2,"[0.0, 0.45, 0.55]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,67217.61164219635,259.4749463939446,67216,353,98232.28114494661
sarscov2,"[0.0, 0.45, 0.55]",0,cases_within,"[0.0, 1.0, 2.0]",0.1,0.5,78134.11946208906,372.83049211922554,78133,280,86138.5362071509
sarscov2,"[0.0, 0.45, 0.55]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,72242.0103980311,308.06321791418213,72241,316,94592.86829896003
sarscov2,"[0.0, 0.45, 0.55]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,67850.0828544854,265.2044689788245,67849,352,97602.00169219793
sarscov2,"[0.0, 0.45, 0.55]",0,deaths_within,"[0.0, 1.0, 2.0]",0.1,0.5,78140.09460775499,372.91068270840674,78140,280,86318.3391877494
sarscov2,"[0.0, 0.45, 0.55]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,72000.38583532354,305.6709246644478,71999,315,95498.2349834127
sarscov2,"[0.0, 0.45, 0.55]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,67149.62660517149,258.87158411600285,67148,353,98416.71154634346
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.1,0.5,78607.78464793728,378.4210923926243,78607,278,85001.6749920419
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,72687.96265560502,312.63768658080727,72687,313,93784.50868680389
