pathogen,split,memory_window,behaviour_function,r,alpha,vaccine_efficacy,final_cases,final_deaths,peak_cases,epidemic_duration,vaccinations_administered
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.9,62911.874403188165,366.0020014170697,62910,271,46388.70434943092
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.25,90596.83073572791,517.7214314144684,90596,236,62743.37282109081
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.5,81915.3577452953,419.0040037625397,81914,266,65990.54484657451
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.9,40510.38464897715,221.5249199370577,40510,309,73205.05966389134
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.25,89777.78101267811,499.586286124587,89777,241,73057.30645041273
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,78259.0536134816,373.98609516194875,78258,284,77565.37566343376
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.9,18669.60385236844,96.46291560283754,18669,335,87229.20034732867
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.25,89143.715191114,485.7855488938695,89143,245,79391.45768768528
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.5,75187.15911147179,339.0024096363685,75187,302,84416.85498478335
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.9,5823.056434178785,29.006987213124667,5822,313,92361.76647411921
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.25,88644.26002414536,475.05511556311046,88643,249,83600.76696723406
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.5,72633.73574928455,311.75904646808766,72632,320,88675.05345704372
sarscov2,"[0.5, 0.0, 0.5]",0,cases,"[0.0, 1.0, 2.0]",2.0,0.9,1915.3997527101546,9.370419805485959,1914,265,93784.34842895978
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.25,91674.50488149936,542.1377615037406,91674,230,44550.73185688682
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.5,86203.85824268634,476.9151300991216,86203,248,45439.1095972056
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.0,0.9,62911.874403188165,366.0020014170697,62910,271,46388.70434943092
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.5,0.25,90616.41189465192,518.2508260294611,90615,235,63439.08039778347
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.5,0.5,81948.24421421796,419.4952760672339,81948,264,67802.39132402066
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",0.5,0.9,41840.7418803768,229.2722145699542,41840,300,73947.85779316828
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.25,89771.4933851539,499.6002934317582,89771,240,74435.2015438746
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.5,78102.09421005161,372.2691496468483,78101,282,80712.68872600659
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.0,0.9,20911.36185101268,108.25989711157908,20910,318,88336.96130537381
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.5,0.25,89095.35504890856,484.92779966772173,89094,245,81227.59054346368
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.5,0.5,74719.86024864155,334.07464187424193,74719,301,88102.24225797603
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",1.5,0.9,7608.089260959882,37.85851237865848,7607,298,93626.89757138063
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.25,88551.7259266618,473.28333921687954,88551,249,85576.82099577166
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.5,71822.58457741636,303.6466212045599,71822,319,92287.38983682485
sarscov2,"[0.5, 0.0, 0.5]",0,deaths,"[0.0, 1.0, 2.0]",2.0,0.9,2840.3326736800695,13.833199467703125,2840,258,95265.81276997499
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.25,89949.55469439353,503.8782576834893,89948,238,79151.14420076954
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.5,79399.8223615856,387.92495342365066,79399,274,83254.12115356588
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.0,0.9,30184.726490152658,159.8447225512388,30184,303,86144.86604227487
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.25,89170.35663693103,486.8710037665189,89170,244,85896.22986851624
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.5,75670.42504799497,344.6659219235496,75670,294,90417.95730034227
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",0.5,0.9,11368.685824659846,57.25013829536819,11368,308,93116.45512576768
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.25,88579.96452293449,474.172127548564,88579,248,89682.88323435298
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.5,72606.3080304038,311.8083465895405,72605,313,94130.64877869985
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.0,0.9,3559.582310640133,17.470373336866807,3558,275,94942.96683342993
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.25,88123.35191462337,464.45515068568943,88122,252,92089.97540130827
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.5,70120.7089000745,286.8100683911895,70120,332,96206.53112838135
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",1.5,0.9,1341.2189455950852,6.494215783502925,1340,237,95387.68359631152
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.25,87763.4598817027,456.8579808138786,87763,255,93665.14086035431
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.5,68120.03467806833,267.7056549330175,68119,349,97391.97462910615
sarscov2,"[0.0, 0.5, 0.5]",0,cases_within,"[0.0, 1.0, 2.0]",2.0,0.9,633.1359488197704,3.0350109468402895,632,206,95512.30507151534
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.25,89949.55469439353,503.8782576834893,89948,238,79151.14420076954
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.5,79399.8223615856,387.92495342365066,79399,274,83254.12115356588
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.0,0.9,30184.726490152658,159.8447225512388,30184,303,86144.86604227487
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.25,89173.42208733843,487.00216005754373,89173,243,86165.86743041627
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.5,75627.25438445687,344.2340667477973,75627,293,91099.0331356377
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",0.5,0.9,12423.6099840356,62.62414493675334,12423,303,93326.25953720832
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.25,88560.24398781695,473.85560327650086,88560,248,90299.8678962347
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.5,72374.70266960286,309.50062294196704,72374,312,95102.86703793122
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.0,0.9,4404.485779132167,21.59428557800045,4404,271,95457.32841935387
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.25,88072.7840079578,463.5126451692146,88071,251,92756.29821245882
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.5,69649.07796994591,282.33081707785334,69648,332,97198.0038937225
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",1.5,0.9,1831.17396267273,8.836778066864513,1830,236,96192.81457113248
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.25,87682.42148143216,455.29211738719545,87682,255,94433.90972496173
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.5,67418.54475034613,261.3273049685807,67417,350,98276.23072918656
sarscov2,"[0.0, 0.5, 0.5]",0,deaths_within,"[0.0, 1.0, 2.0]",2.0,0.9,929.8916027990957,4.434081547206416,929,208,96585.51660726828
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.25,89949.55469439353,503.8782576834893,89948,238,79151.14420076954
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.5,79399.8223615856,387.92495342365066,79399,274,83254.12115356588
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.0,0.9,30184.726490152658,159.8447225512388,30184,303,86144.86604227487
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.25,89182.1224674521,487.10974782162276,89181,244,85580.22005193794
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.5,75718.02886887194,345.18481047782257,75717,294,90116.49340803394
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",0.5,0.9,11412.394535419975,57.483810548914015,11411,308,92995.74779658507
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.25,88597.76534733489,474.52895975440197,88597,248,89292.98150674233
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.5,72687.96265560505,312.6376865808072,72687,313,93784.50868680392
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.0,0.9,3580.624437150679,17.5784561740781,3580,276,94865.67042213105
sarscov2,"[0.0, 0.5, 0.5]",0,cases,"[0.0, 1.0, 2.0]",1.5,0.25,88144.01522077338,464.86554474326647,88143,252,91702.92220660872
